# should be complete
john r campbell;2182412
john y campbell;1237890,1338942,1209871
# added 10 June 13
3,0.922881,catunda,sebastian yuri cavalcanti catunda,1;137007,172081,1119745
l caviglione|luca caviglione;666904,1307357,1326064,1105541
a cayley|arthur cayley;254134,2153525,190710
stanford, stem cell;1357337
microsoft, eric i chang;178801,238212
uni of hong kong,business,eric c chang;429757
# 2,0.856285,chang,eric i chang,1;238212,1357337
# 2,0.892848,chang,eric i chao chang,1;178801,429757
chiu sing oliver choy|oliver chiu sing choy;1616688,2111890,741545,1962318
g christou|george christou;183434,356715,534662,1066190
wind,chia ren chu;1776057,2036466,43097
bio,chia ren chu;1805628
tat seng chua;1012184,1688671,395059,471690,1716630
# this set of clusters is suspect
medical,michael cohen;987077,
poetry,michael d cohen;754479,2071221,807591
microsoft,michael f cohen;1212281,1830764
voice recognition,michael h cohen;1347108,1529874,43308
michael a cohen;1085420
tim f cootes|t f cootes|tf cootes|timothy f cootes;1079001,1430463,1833553,143633,1848500
jean louis cuq|j l cuq;176642,790606,1781393,1468366,2053625
mirjam cvetiycand|mirjam cvetiyc;557331,681774,676787,1845006
w i f david|william i f david;1499181,1729955,150480,626087,999800,1328712,2258607
p g de gennes|pierre gilles de gennes;405656,714327,1342753,232156,274029,547513,861762,1308026,2193597
victor o de haan|v o de haan|victor otto de haan;559382,1665365,349047,1946192,498652,672407
kees g de kruif|cees g de kruif,1;972784,1597457,98652,447491,480446,1645714
jose antonio gutierrez de mesa;328324,513699,860355,1945865
david c de roure|david de roure;285327,327897,2082475,61871,181141,350285,735191,1302421


### Negative examples that turned out in our clusterings ###
### Have not checked to ensure that they are complete ###
Itu-t Recommendation X;544791
Itu-t Recommendation G;1408263
An Approach Base;179350
An Approach Based;646737
M.c Cheng;226185
M.-C. Chung;357694
Yonghuai Liu;565230
Yong-Hui Li;1728810
G. Agnoux;1520688
C. Agnoux;1834806
G. Kopetz;1465510
K. Kopetz;1733250
B. VAN DER SCHOOT;444724
Hans Van Der Schoot;1515138
Kouji Ouchi;2178707
Koji Ouchi;2263292

# Problematic
#4,0.658814;214125,574095,678742,1688795
#3,0.63497;1133667,1676949,1763644


# orphans
ID:97236;97236
ID:960400;960400
ID:909000;909000
ID:746785;746785
ID:736223;736223
ID:677868;677868
ID:645118;645118
ID:639110;639110
ID:599380;599380
ID:585479;585479
ID:568413;568413
ID:56473;56473
ID:545802;545802
ID:535919;535919
ID:532334;532334
ID:466116;466116
ID:433105;433105
ID:420485;420485
ID:401763;401763
ID:350400;350400
ID:276585;276585
ID:2275859;2275859
ID:2239545;2239545
ID:2219573;2219573
ID:2201587;2201587
ID:2153905;2153905
ID:2116031;2116031
ID:2095826;2095826
ID:2094944;2094944
ID:2089349;2089349
ID:2063145;2063145
ID:2045976;2045976
ID:2045673;2045673
ID:2004964;2004964
ID:1987764;1987764
ID:1983862;1983862
ID:1884706;1884706
ID:1871679;1871679
ID:1841206;1841206
ID:1789572;1789572
ID:1727877;1727877
ID:1687587;1687587
ID:1649937;1649937
ID:1640744;1640744
ID:1581497;1581497
ID:1575540;1575540
ID:1573619;1573619
ID:1456187;1456187
ID:1414417;1414417
ID:14143;14143
ID:1410515;1410515
ID:1401344;1401344
ID:1390840;1390840
ID:1375559;1375559
ID:1355683;1355683
ID:1290980;1290980
ID:1279948;1279948
ID:1212693;1212693
ID:1205338;1205338
ID:1196247;1196247
ID:1091346;1091346
ID:1050053;1050053
ID:1034728;1034728
ID:1020019;1020019
ID:1018213;1018213
ID:1013384;1013384
ID:1009543;1009543
2 theoretical underpinnings;1914695
2 the electron density;1495675
2 the doppler effect;612331
2 production scheduling;2290737
2 plane partitions;1296708
2 experiment design;1655273
1 text document classification;1449566
1 signaling in the model;155732
1 optimization framework;310297
1 central bank independence;1441974
1 basic concepts;665404
Suggestions Or Corrections To;423394
Multipath Rayleigh Fading;741382
Value Of Knowledge;2067718
